,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
1140,9/24/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,58.6,55.6,-999999.0,-999999.0,0.0,0.0,112.0,8.0,8.0,4.1,4.1,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,410.0,389.0,20.0,20.0,0.0,0.0,784.0,56.0,56.0,29.0,29.0,7.0,7.0
1551,10/1/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,51.7,48.6,-999999.0,-999999.0,0.0,0.0,112.0,8.0,8.0,6.1,6.1,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,362.0,340.0,12.0,12.0,0.0,0.0,784.0,56.0,56.0,43.0,43.0,7.0,7.0
9319,9/24/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,37.7,35.9,-999999.0,-999999.0,0.0,0.0,56.0,18.0,12.0,4.3,4.3,-999999.0,-999999.0,0.0,0.0,0.0,658.0,602.0,336.0,264.0,251.0,24.0,24.0,0.0,0.0,392.0,126.0,84.0,30.0,30.0,13.0,13.0
11885,10/1/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,40.9,37.1,6.9,6.9,0.0,0.0,56.0,18.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,658.0,602.0,336.0,286.0,260.0,48.0,48.0,0.0,0.0,392.0,126.0,84.0,21.0,21.0,17.0,17.0
17290,9/3/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,54.9,49.6,-999999.0,-999999.0,0.0,0.0,112.0,8.0,8.0,7.0,7.0,-999999.0,0.0,0.0,0.0,0.0,924.0,868.0,728.0,384.0,347.0,22.0,22.0,0.0,0.0,784.0,56.0,56.0,49.0,49.0,-999999.0,0.0
17672,9/17/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,41.7,39.4,4.4,4.4,0.0,0.0,56.0,18.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,658.0,602.0,336.0,292.0,276.0,31.0,31.0,0.0,0.0,392.0,126.0,84.0,23.0,23.0,10.0,10.0
18894,9/10/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,58.1,52.1,-999999.0,-999999.0,0.0,0.0,112.0,8.0,8.0,6.9,6.9,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,407.0,365.0,18.0,18.0,0.0,0.0,784.0,56.0,56.0,48.0,48.0,-999999.0,-999999.0
22119,9/10/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,48.0,43.3,-999999.0,-999999.0,0.0,0.0,56.0,18.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,658.0,602.0,336.0,336.0,303.0,24.0,24.0,0.0,0.0,392.0,126.0,84.0,21.0,21.0,8.0,8.0
23081,9/17/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,67.9,60.4,-999999.0,-999999.0,0.0,0.0,112.0,8.0,8.0,7.7,7.7,0.0,0.0,0.0,0.0,0.0,924.0,868.0,728.0,475.0,423.0,7.0,7.0,0.0,0.0,784.0,56.0,56.0,54.0,54.0,0.0,0.0
23690,9/3/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,43.4,38.7,4.6,4.6,0.0,0.0,56.0,18.0,12.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,0.0,658.0,602.0,336.0,304.0,271.0,32.0,32.0,0.0,0.0,392.0,126.0,84.0,28.0,28.0,17.0,17.0
27246,8/27/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,52.7,48.9,10.1,10.1,0.0,0.0,112.0,8.0,8.0,7.4,7.4,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,369.0,342.0,71.0,71.0,0.0,0.0,784.0,56.0,56.0,52.0,52.0,9.0,9.0
27835,8/20/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,61.4,55.9,12.9,12.9,0.0,0.0,112.0,8.0,8.0,6.9,6.9,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,430.0,391.0,90.0,90.0,0.0,0.0,784.0,56.0,56.0,48.0,48.0,12.0,12.0
36380,8/27/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,36.3,34.0,5.0,5.0,0.0,0.0,56.0,18.0,12.0,6.1,6.1,4.7,4.7,0.0,0.0,0.0,658.0,602.0,336.0,254.0,238.0,35.0,35.0,0.0,0.0,392.0,126.0,84.0,43.0,43.0,33.0,33.0
39018,8/20/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,43.9,40.1,8.4,8.3,0.0,0.0,56.0,18.0,12.0,6.0,6.0,5.3,5.1,0.0,0.0,0.0,658.0,602.0,336.0,307.0,281.0,59.0,58.0,0.0,0.0,392.0,126.0,84.0,42.0,42.0,37.0,36.0
39213,8/13/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,74.0,66.6,19.4,19.4,0.0,0.0,112.0,8.0,8.0,5.9,5.9,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,518.0,466.0,136.0,136.0,0.0,0.0,784.0,56.0,56.0,41.0,41.0,12.0,12.0
42814,7/30/2021,VI,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,Short Term,132.0,124.0,104.0,71.4,66.4,8.3,8.3,-999999.0,-999999.0,112.0,8.0,8.0,5.3,5.3,-999999.0,-999999.0,0.0,0.0,0.0,924.0,868.0,728.0,500.0,465.0,58.0,58.0,-999999.0,-999999.0,784.0,56.0,56.0,37.0,37.0,13.0,13.0
47071,7/30/2021,VI,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,Short Term,94.0,86.0,48.0,46.1,41.0,16.9,16.9,0.0,0.0,56.0,18.0,12.0,5.1,5.1,4.4,4.4,0.0,0.0,0.0,658.0,602.0,336.0,323.0,287.0,118.0,118.0,0.0,0.0,392.0,126.0,84.0,36.0,36.0,31.0,31.0
